MARITAL_STATUS,STATE,CREDIT_BALANCE,TIME_AS_CUSTOMER,MORTGAGE_AMOUNT,BANK_FUNDS,N_OF_DEPENDENTS,HAS_CHILDREN,SALARY,CUST_ID,SEX,PROFESSION,CREDIT_CARD_LIMITS,REGION,HOUSE_OWNERSHIP,N_TRANS_WEB_BANK,BUY_INSURANCE,MONTHLY_CHECKS_WRITTEN,N_TRANS_KIOSK,AGE,MONEY_MONTLY_OVERDRAWN,LTV,T_AMOUNT_AUTOM_PAYMENTS,N_TRANS_TELLER,CHECKING_AMOUNT,N_TRANS_ATM,LTV_BIN,LAST,N_MORTGAGES,CAR_OWNERSHIP,FIRST
DIVORCED,NY,0,4,4000,6700,3,YES,66880,CU859,Female,Dentist,900,NorthEast,1,1100,Yes,2,5,36,56.17,21320,2077,1,757,6,MEDIUM,PAULINE,1,YES,LEAL
SINGLE,NY,0,2,0,0,0,NO,74494,CU860,Male,Administrative Assistant,1500,NorthEast,0,0,No,0,0,0,53.06,0,503,0,25,0,LOW,JIM,0,YES,HOPPER
MARRIED,NY,0,4,1500,2701,4,YES,67967,CU861,Female,DBA,1500,NorthEast,2,1,No,16,0,35,53.55,29491.75,7556,2,5765,4,HIGH,ADELIA,2,YES,BRONSON
DIVORCED,CA,31263,4,2000,2400,3,YES,66973,CU862,Female,Author,1000,West,2,2000,No,14,0,61,54.81,33843.25,48935,4,15722,5,VERY HIGH,SUMIKO,2,YES,BACON
MARRIED,NY,312964,2,1800,7880,0,YES,60709,CU865,Male,Administrative Assistant,500,NorthEast,1,1440,No,3,0,40,58.34,25177.25,325989,2,25,6,HIGH,MARCUS,1,YES,FAIRCHILD
SINGLE,CA,0,2,0,0,0,NO,65790,CU866,Male,PROF-14,1400,West,0,0,No,0,0,57,53.06,23147.5,507,1,25,0,HIGH,KERMIT,0,YES,RUSSO
DIVORCED,CA,66286,5,3800,7100,5,NO,67551,CU867,Female,Cashier,900,West,1,1100,No,4,4,65,54.18,25887.75,66886,4,25,5,HIGH,MICHAL,1,YES,BURT
OTHER,WA,56297,1,15000,12500,1,YES,65071,CU868,Female,IT Staff,500,West,1,3000,Yes,17,3,47,57.7,24467.75,59437,7,25,6,HIGH,ANALISA,1,YES,BATEMAN
DIVORCED,NY,0,1,4500,5646,1,YES,90366,CU869,Female,Veterinarian,3000,NorthEast,1,1923,Yes,14,10,38,55.7,29891.5,4007,2,25,6,HIGH,JIMMY,1,YES,HUGGINS
SINGLE,CA,0,2,0,3120,0,NO,66415,CU870,Male,Clerical,1000,West,0,720,Yes,8,6,0,53.83,0,1299,6,382,4,LOW,LUIS,0,YES,MCCLAIN
WIDOWED,NY,0,2,5000,10200,1,YES,64785,CU871,Female,Author,500,NorthEast,1,2000,Yes,2,0,53,53.25,25496.25,3638,4,181,3,HIGH,CHARIS,1,YES,MUNIZ
DIVORCED,NY,0,4,3000,8900,3,YES,62756,CU1388,Male,Clerical,500,NorthEast,1,2000,No,3,2,35,53.47,20189,1503,6,25,4,MEDIUM,JOEY,1,YES,DUNLAP
MARRIED,MS,0,1,10000,0,1,NO,65429,CU1389,Female,PROF-58,1100,South,1,10000,No,1,2,48,53.21,29657.25,2569,1,1349,3,HIGH,DORLA,1,YES,MARSH
SINGLE,NY,0,2,0,0,0,NO,59013,CU3863,Male,PROF-13,1200,NorthEast,0,0,No,17,3,56,53.01,21353.25,705,3,114,2,MEDIUM,EVERETT,0,YES,KNIGHT
MARRIED,IL,0,3,1000,0,3,YES,70610,CU3864,Male,Waiter/Waitress,900,Midwest,1,1000,No,3,3,30,52.99,21152.5,698,1,187,2,MEDIUM,MOHAMMAD,1,YES,ODOM
MARRIED,MI,0,4,1300,0,4,NO,63394,CU3865,Male,Plumber,900,Midwest,1,1300,No,5,3,29,53,22748.5,134,1,25,2,HIGH,DAMIAN,1,YES,LAMB
MARRIED,NY,29078,2,1800,2700,2,YES,66511,CU3866,Male,Medical Doctor,900,NorthEast,1,1800,No,0,3,54,54.38,24027.75,29684,1,25,5,HIGH,ELIAS,1,YES,FOURNIER
MARRIED,NY,0,4,1400,2200,1,NO,66850,CU3867,Female,Fireman,700,NorthEast,1,1400,No,3,3,36,53.15,30312.5,1551,4,112,2,VERY HIGH,MOZELL,1,YES,PAYTON
MARRIED,MI,249,3,800,1350,3,NO,58014,CU3868,Male,Author,900,Midwest,1,800,No,3,1,60,53.99,26003.5,18966,3,17321,5,HIGH,ALONSO,1,YES,NORRIS
DIVORCED,FL,0,3,2500,6800,3,YES,63186,CU3869,Male,DBA,1300,South,1,1200,Yes,4,1,40,57.06,20296.5,3855,4,25,6,MEDIUM,JERMAINE,1,YES,SULLIVAN
MARRIED,NY,0,1,1000,2000,1,YES,64293,CU3870,Female,Accountant,1000,NorthEast,1,400,Yes,3,3,55,53.98,25073.25,6940,1,6408,5,HIGH,JEANNA,1,YES,SANDERS
SINGLE,NY,0,2,0,0,0,YES,59594,CU3871,Male,Administrative Assistant,600,NorthEast,0,0,No,1,3,51,53.07,15998.5,511,0,25,1,MEDIUM,MOISES,0,YES,WATTS
OTHER,NY,0,4,15500,12501,3,NO,71042,CU3872,Female,IT Staff,5000,NorthEast,2,1,Yes,3,3,51,55.49,38860.5,1939,1,25,5,VERY HIGH,ESTELL,2,YES,GRAHAM
SINGLE,IL,0,2,500,0,0,NO,65537,CU3873,Male,PROF-13,500,Midwest,1,500,No,0,3,30,53.06,30384.25,506,1,25,0,VERY HIGH,TREVOR,1,YES,YOST
DIVORCED,NC,0,4,4000,0,3,YES,63661,CU3875,Female,Lab Technician,500,South,1,4000,No,3,3,47,53.95,21615.25,870,1,49,4,MEDIUM,JAMEY,1,YES,AMBROSE
SINGLE,WA,0,2,500,0,2,YES,67931,CU3876,Male,Cashier,900,West,1,500,No,1,3,25,53.07,21482.75,515,1,25,1,MEDIUM,PIERRE,1,YES,KEENAN
DIVORCED,WI,0,4,4580,8400,4,YES,67235,CU3878,Male,Administrator,900,Midwest,1,300,No,4,3,32,54.08,19008.75,26014,2,20941,5,MEDIUM,JOHNNIE,1,YES,HAMMONS
MARRIED,OH,0,3,1800,2150,3,YES,64086,CU3881,Male,Not specified,500,Midwest,1,350,No,2,7,26,53.49,19121.5,3679,3,2892,4,MEDIUM,KENTON,1,YES,BRENNAN
DIVORCED,FL,0,4,4500,7070,3,YES,64643,CU3883,Female,PROF-9,900,South,1,1300,Yes,1,3,33,57.12,20460.75,4657,4,25,6,MEDIUM,OLLIE,1,YES,MCFARLAND
MARRIED,MN,0,4,5000,20500,1,YES,65150,CU2682,Female,Not specified,1000,West,1,3500,Yes,2,2,43,54.98,25587.5,14007,8,12722,5,HIGH,BRIDGETTE,1,YES,SCRUGGS
MARRIED,OR,0,1,10000,0,1,NO,59266,CU4249,Female,Truck Driver,900,West,1,10000,No,2,3,35,57.98,26816.5,1649,1,25,6,HIGH,OLGA,1,YES,FLOOD
MARRIED,CA,0,4,5000,13500,4,YES,70930,CU4250,Female,IT Staff,3500,West,1,2500,Yes,14,3,40,56.89,20732.5,10079,1,85,6,MEDIUM,JACKLYN,1,YES,TORRES
MARRIED,CA,0,3,900,1201,3,NO,59870,CU120,Male,Not specified,900,West,1,900,No,7,0,71,53.44,27567.5,881,3,369,4,HIGH,MOHAMMAD,1,YES,BUCKNER
MARRIED,NV,38878,1,1700,0,1,YES,61220,CU121,Female,Author,800,Southwest,1,1700,No,2,0,68,55.12,25605,39461,0,25,5,HIGH,CARLY,1,YES,SERRANO
WIDOWED,CA,0,1,6599,21750,1,YES,71279,CU123,Female,Law Enforcement Officer,1300,West,1,6599,Yes,11,0,68,53.48,28119.75,1877,9,173,4,HIGH,DEBBRA,1,YES,CHASTAIN
DIVORCED,FL,0,1,1868,0,1,YES,58267,CU124,Female,Author,1000,South,1,1868,No,8,0,68,54.47,24866.75,602,1,25,5,HIGH,REBBECCA,1,YES,KUHN
DIVORCED,CO,0,4,3722,6600,1,YES,64761,CU125,Male,Cashier,900,West,1,1800,No,0,6,69,54.22,28090.25,20222,4,19220,5,HIGH,DONG,1,YES,JACOBS
SINGLE,CA,0,2,0,3523,0,NO,72602,CU126,Male,Sales Representative,1600,West,0,773,Yes,2,0,57,53.19,24850.5,3303,1,138,3,HIGH,THAD,0,YES,WILLIAMS
WIDOWED,OH,0,4,5000,6800,1,YES,59622,CU127,Female,Software Engineer,500,Midwest,1,2000,No,11,0,52,53.23,25105.5,537,4,25,3,HIGH,TYESHA,1,YES,GILES
SINGLE,CA,0,5,0,550,5,NO,61647,CU128,Female,PROF-17,900,West,0,0,No,2,0,22,53.57,10111.75,824,2,213,4,LOW,MAYBELLE,0,YES,RUSSO
MARRIED,MS,0,1,1500,0,1,NO,63107,CU129,Male,PROF-8,900,South,2,1500,No,1,0,30,53.08,37276.75,713,1,25,1,VERY HIGH,GREG,2,YES,LEMON
MARRIED,CA,0,2,954,0,0,NO,65401,CU130,Male,Administrative Assistant,500,West,1,954,No,0,0,29,53.06,30250.25,504,1,25,0,VERY HIGH,DONNELL,1,YES,PUTNAM
MARRIED,NY,0,3,1100,1200,3,NO,60536,CU132,Male,PROF-15,900,NorthEast,1,1100,Yes,12,0,40,54.15,24634,965,3,74,5,HIGH,NEIL,1,YES,MARQUEZ
MARRIED,NY,0,4,1000,700,3,YES,59379,CU1183,Male,PROF-7,1000,NorthEast,1,200,No,10,0,41,53.12,19944.75,897,3,374,2,MEDIUM,MORTON,1,YES,OLEARY
SINGLE,NY,0,2,0,2152,0,YES,63976,CU1184,Male,Accountant,500,NorthEast,0,752,Yes,1,0,44,53.87,16394,1800,1,37,4,MEDIUM,GIOVANNI,0,YES,FELICIANO
DIVORCED,CA,445,2,2472,2400,0,NO,55583,CU1186,Male,PROF-15,1500,West,1,2472,No,5,0,55,54.07,30395.75,21394,1,16838,5,VERY HIGH,VINCENT,1,YES,CLAY
DIVORCED,CA,0,4,3350,8200,3,YES,79922,CU1187,Female,PROF-15,2000,West,2,1300,No,2,0,66,53.31,37580.5,6587,2,6039,3,VERY HIGH,GALA,2,YES,DICKERSON
MARRIED,NY,11999,4,1500,2840,1,YES,70610,CU1189,Male,IT Staff,900,NorthEast,1,1290,No,3,0,36,64.8,26252.5,50294,2,25,7,HIGH,SANFORD,1,YES,LUGO
SINGLE,NY,0,2,0,2620,0,NO,74137,CU1190,Male,Nurse,1600,NorthEast,0,720,No,3,0,36,53.57,23134.25,4506,2,2152,4,HIGH,HUBERT,0,YES,SINGER
MARRIED,NY,9750,1,1300,1200,1,YES,69942,CU1191,Female,Not specified,1000,NorthEast,1,1300,No,2,0,40,53.34,24985.5,12992,1,2719,3,HIGH,MICHELINE,1,YES,DYSON
MARRIED,NY,0,1,7500,12650,1,YES,61666,CU1192,Male,Law Enforcement Officer,500,NorthEast,1,4000,Yes,2,8,42,63.86,23116.5,11681,4,188,7,HIGH,HOBERT,1,YES,PARSON
MARRIED,NY,0,4,7000,17500,3,YES,59847,CU1193,Female,Administrator,900,NorthEast,1,2500,No,17,0,41,53.73,20061.75,15104,5,11421,4,MEDIUM,VIVIANA,1,YES,GERBER
SINGLE,CA,47571,2,0,2358,0,YES,57729,CU1194,Male,Author,900,West,0,508,No,3,0,65,56.9,16932.25,58004,3,25,6,MEDIUM,CLETUS,0,YES,FRANCE
DIVORCED,NY,18584,4,2000,2200,4,YES,60442,CU1195,Female,Publisher,1000,NorthEast,1,400,No,1,5,36,53.47,17710.5,23447,3,605,4,MEDIUM,GERTIE,1,YES,WOOD
SINGLE,NC,0,2,0,0,0,YES,68218,CU1196,Male,Administrative Assistant,700,South,0,0,No,2,0,55,53.19,18554.5,1321,1,674,3,MEDIUM,ANDREW,0,YES,KERN
DIVORCED,CA,0,1,2200,3501,1,YES,58893,CU1198,Female,PROF-30,1200,West,1,1,No,13,0,54,53.89,23623.25,7832,1,7252,4,HIGH,REGENA,1,YES,MCWILLIAMS
MARRIED,CA,0,3,1079,0,3,YES,60578,CU1199,Male,IT Staff,1000,West,1,1079,No,4,0,26,53.13,18244.5,794,0,287,2,MEDIUM,ANGELO,1,YES,SPENCE
WIDOWED,CA,0,1,12000,12600,1,YES,64433,CU1200,Female,Medical Doctor,800,West,1,5000,Yes,3,0,55,54.12,25108.25,1970,4,25,5,HIGH,CORDIE,1,YES,BULLOCK
MARRIED,CA,0,3,800,0,3,YES,57072,CU1201,Male,Author,1600,West,1,800,No,3,0,76,53.2,22368,1679,1,25,3,HIGH,ELWOOD,1,YES,MABRY
MARRIED,NY,0,4,1089,3060,0,YES,55182,CU1202,Male,Veterinarian,1400,NorthEast,1,960,No,13,0,38,53.7,24595.5,3746,2,2400,4,HIGH,ROLLAND,1,YES,SHEA
DIVORCED,NY,0,1,2994,0,1,YES,61258,CU1203,Female,Publisher,1500,NorthEast,1,2994,No,1,0,39,53.08,22714.5,773,1,25,1,HIGH,OLLIE,1,YES,DODGE
WIDOWED,MN,32556,1,8500,25000,1,YES,68368,CU1204,Female,PROF-9,900,West,1,5000,Yes,4,0,68,58.64,27392,37390,2,25,6,HIGH,ENRIQUETA,1,YES,SOSA
WIDOWED,NY,26621,1,7900,26800,1,YES,75644,CU1205,Female,Not specified,1500,NorthEast,1,4800,Yes,3,0,52,55.91,27611,28116,1,25,6,HIGH,LYNNA,1,YES,ISAAC
DIVORCED,CA,0,2,2700,0,0,NO,71896,CU1206,Male,Administrative Assistant,1500,West,1,2700,No,2,0,63,53.72,35274,642,1,25,4,VERY HIGH,JEWELL,1,YES,SKINNER
WIDOWED,CA,0,4,9975,21600,6,YES,100489,CU1207,Female,Author,4000,West,1,4000,No,3,0,79,54.01,28022.25,8614,5,6287,5,HIGH,JULENE,1,YES,NEWCOMB
SINGLE,NY,0,2,0,0,0,YES,68643,CU1208,Male,Administrative Assistant,900,NorthEast,0,0,No,6,6,39,53.13,17060.75,503,1,25,2,MEDIUM,ISSAC,0,YES,KAY
SINGLE,CA,0,2,0,0,0,NO,65394,CU1209,Male,Nurse,1000,West,0,0,No,0,0,0,53.06,0,801,0,150,0,LOW,ERVIN,0,YES,BURRIS
SINGLE,NY,0,2,0,0,0,NO,68884,CU1210,Male,Administrative Assistant,900,NorthEast,0,0,No,0,0,40,53.06,22221,502,1,25,0,HIGH,EMERY,0,YES,FINK
MARRIED,WA,0,1,1316,2000,1,YES,67660,CU1211,Male,Waiter/Waitress,700,West,2,1316,No,9,4,45,53.29,34915,472,1,422,3,VERY HIGH,BRENTON,2,YES,PRATT
MARRIED,CA,0,4,6000,0,4,YES,59934,CU1213,Female,IT Staff,500,West,1,6000,No,1,0,36,53.07,17583.5,511,1,25,1,MEDIUM,SHERRELL,1,YES,FLORES
WIDOWED,MI,0,1,5000,0,1,NO,58034,CU1217,Female,PROF-39,1200,Midwest,1,5000,No,0,0,78,53.06,30808.5,507,1,25,0,VERY HIGH,JENA,1,YES,ABRAMS
DIVORCED,NC,0,4,3000,6000,4,YES,61100,CU1219,Female,PROF-65,1500,South,1,1950,No,1,0,52,53.63,19475,11357,2,10500,4,MEDIUM,SHENA,1,YES,KYLE
DIVORCED,MI,1108,1,2000,2400,1,YES,63532,CU716,Female,Software Engineer,900,Midwest,1,400,No,4,0,58,54.54,25183,14339,1,7201,5,HIGH,EMOGENE,1,YES,SPAULDING
MARRIED,NY,0,4,5600,17200,3,YES,64505,CU717,Male,Clerical,1100,NorthEast,1,3000,No,1,0,42,53.89,21326.25,766,3,25,4,MEDIUM,DEREK,1,YES,OCONNELL
DIVORCED,MI,0,1,2500,6800,1,YES,61136,CU2932,Female,Truck Driver,1500,Midwest,1,1200,No,11,1,43,53.09,23084,1021,2,40,1,HIGH,MARLO,1,YES,CONNOLLY
SINGLE,WA,0,2,537,0,0,NO,62163,CU2933,Male,Fireman,500,West,1,537,No,0,1,45,53.06,31040.75,508,0,25,0,VERY HIGH,LONG,1,YES,SHAFER
DIVORCED,CA,4556,1,3000,4900,1,YES,61438,CU4260,Female,IT Staff,1300,West,1,900,No,12,3,43,53.41,23159.5,7100,1,305,4,HIGH,EDWARD,1,YES,GRAHAM
MARRIED,CA,0,3,750,1100,3,YES,70455,CU4262,Male,Cashier,1700,West,1,750,No,7,3,67,53.6,24813.75,1228,1,714,4,HIGH,JULES,1,YES,KERN
DIVORCED,IL,0,5,2700,2700,5,NO,62488,CU4263,Female,IT Staff,900,Midwest,1,500,Yes,8,3,32,54.11,21322,1298,1,278,5,MEDIUM,CONCEPTION,1,YES,HASTINGS
DIVORCED,MN,0,4,3200,2968,3,YES,64632,CU267,Male,PROF-8,1000,West,1,1087,Yes,2,0,73,54.93,24458,2276,1,542,5,HIGH,ADOLPH,1,YES,CORREA
WIDOWED,NV,2333,1,9000,26600,1,YES,55577,CU268,Female,Law Enforcement Officer,1300,Southwest,1,5000,No,2,0,57,53.69,23094.25,7663,5,4032,4,HIGH,REGINA,1,YES,NIETO
MARRIED,FL,0,4,1277,6600,3,YES,69151,CU269,Female,Truck Driver,1500,South,2,1100,Yes,4,0,76,54.22,35887.75,2052,4,95,5,VERY HIGH,SOLEDAD,2,YES,GALLO
DIVORCED,FL,0,1,3000,4000,1,YES,69298,CU9754,Female,Truck Driver,1000,South,1,3000,Yes,2,1,45,54.49,25324.5,2204,1,25,5,HIGH,VELLA,1,YES,PEASE
MARRIED,MI,0,1,1000,451,1,NO,72570,CU1248,Female,Author,1200,Midwest,1,1000,No,11,0,70,53.35,33642.5,2928,2,2169,3,VERY HIGH,ESTELLA,1,YES,HITCHCOCK
SINGLE,NY,0,2,0,0,0,YES,68880,CU1249,Male,Professor,700,NorthEast,0,0,No,0,0,36,53.07,16820,1524,1,25,1,MEDIUM,SHANE,0,YES,LOCKWOOD
MARRIED,MI,0,1,1500,1151,1,YES,69496,CU7519,Male,Truck Driver,1500,Midwest,1,1,No,13,2,47,53.7,25574,483,3,25,4,HIGH,LAMAR,1,YES,HUSTON
DIVORCED,NY,0,1,2800,1801,1,NO,61221,CU7520,Male,Truck Driver,1500,NorthEast,1,1,Yes,2,1,24,53.42,26205.25,208,3,25,4,HIGH,MARTIN,1,YES,CORTEZ
MARRIED,MI,0,3,1100,500,3,NO,64864,CU7521,Male,Bank Teller,1000,Midwest,1,1100,Yes,13,7,28,53.83,24516,0,2,25,4,HIGH,ZACKARY,1,YES,WHITT
SINGLE,MN,0,3,0,500,3,NO,60786,CU7522,Male,Programmer/Developer,1000,West,0,0,No,18,1,21,53.08,12796.5,127,2,25,1,LOW,ANTOINE,0,YES,HUDDLESTON
DIVORCED,NV,0,1,4000,1201,1,NO,59161,CU8208,Male,Veterinarian,2000,Southwest,1,4000,No,1,1,31,53.07,26390.25,0,3,25,1,HIGH,AARON,1,YES,ROLLINS
MARRIED,NY,0,3,700,500,3,NO,66276,CU8209,Male,Programmer/Developer,1000,NorthEast,1,700,Yes,13,2,22,53.36,24269,127,2,25,3,HIGH,LYNN,1,YES,BREWSTER
MARRIED,NY,0,1,1350,0,1,NO,73457,CU8210,Female,PROF-13,1500,NorthEast,1,1350,No,1,1,50,53.07,31864.25,0,0,25,1,VERY HIGH,VANNA,1,YES,ANGEL
SINGLE,NY,0,3,650,0,3,YES,59962,CU8211,Male,Programmer/Developer,1000,NorthEast,1,650,No,1,1,21,53.07,17590.5,0,1,25,1,MEDIUM,RALPH,1,YES,BOLLINGER
SINGLE,NY,0,3,0,0,3,NO,58283,CU8212,Male,Programmer/Developer,1000,NorthEast,0,0,No,0,1,23,53.06,12370.75,0,1,25,0,LOW,LAWERENCE,0,NO,ESPINOZA
SINGLE,MI,0,3,0,500,3,NO,71824,CU8213,Male,Programmer/Developer,1000,Midwest,0,0,No,1,1,22,53.52,15656,3528,2,25,4,MEDIUM,CARMINE,0,YES,SHOEMAKER
MARRIED,MI,0,1,1000,201,1,NO,59851,CU8214,Male,Technical Writer,1000,Midwest,1,1000,No,13,3,27,53.08,26162.75,372,1,351,1,HIGH,DEMETRIUS,1,YES,LEMON
SINGLE,NY,0,3,0,550,3,NO,67521,CU9756,Male,Programmer/Developer,1000,NorthEast,0,0,Yes,1,3,22,53.19,14580.25,331,2,25,3,MEDIUM,AL,0,YES,SINGER
SINGLE,NY,0,3,0,0,3,NO,58577,CU9757,Male,Programmer/Developer,700,NorthEast,0,0,No,0,1,42,53.06,14344.25,0,1,25,0,MEDIUM,VINCE,0,NO,HILL
OTHER,NY,0,1,15000,0,1,NO,68133,CU6438,Female,Law Enforcement Officer,800,NorthEast,1,15000,No,0,1,64,53.06,31933.25,524,1,25,0,VERY HIGH,KATHERIN,1,YES,NEWCOMB
SINGLE,CA,0,2,0,0,0,YES,66001,CU6439,Male,Nurse,900,West,0,0,No,3,10,59,53.69,18400.25,2254,1,25,4,MEDIUM,DONALD,0,YES,MICHAEL
DIVORCED,MI,0,1,3400,9410,1,YES,79645,CU6440,Female,Not specified,2000,Midwest,1,2210,Yes,4,6,57,55.39,29111.25,2049,4,25,5,HIGH,RICKI,1,YES,PARISH
DIVORCED,MI,105,2,3000,2350,2,YES,66102,CU6441,Male,Law Enforcement Officer,900,Midwest,1,450,No,18,1,57,54.07,24225.5,15995,1,149,5,HIGH,ANDREA,1,YES,BEGAY
MARRIED,CA,0,4,700,300,4,NO,57909,CU6442,Male,PROF-28,900,West,1,700,Yes,1,1,28,53.04,21277.25,673,2,25,2,MEDIUM,DANNY,1,YES,ROBBINS
DIVORCED,CA,0,3,3800,0,3,YES,69473,CU6443,Male,Truck Driver,900,West,1,3800,No,0,1,29,53.06,20768.25,0,1,25,0,MEDIUM,TANNER,1,YES,DALTON
MARRIED,MI,0,5,1000,550,5,YES,59032,CU6445,Female,PROF-17,1000,Midwest,1,1000,No,12,10,22,53.23,14458,5167,1,175,3,MEDIUM,KARISA,1,YES,FLOWERS
DIVORCED,MI,0,2,2000,7660,0,YES,73133,CU6446,Male,Nurse,1700,Midwest,1,1660,Yes,0,1,55,54.19,29783.25,12483,2,11619,5,HIGH,HAI,1,YES,ARELLANO
SINGLE,NV,0,5,0,0,5,NO,63455,CU6447,Female,Programmer/Developer,500,Southwest,0,0,No,4,1,23,52.96,10663.75,144,1,130,2,LOW,LEEANN,0,YES,INGRAM
SINGLE,CA,0,3,0,250,3,NO,61716,CU6448,Male,Programmer/Developer,500,West,0,0,No,0,1,31,52.99,14029,0,2,25,2,MEDIUM,SHAYNE,0,NO,WILBURN
WIDOWED,MI,6123,1,9000,1000,1,NO,82199,CU6449,Female,Author,4000,Midwest,2,9000,No,3,1,59,53.76,44949.75,14425,3,7637,4,VERY HIGH,VESTA,2,YES,HOOPER
MARRIED,NY,0,3,705,250,3,NO,68859,CU6451,Male,Technical Writer,900,NorthEast,1,705,Yes,12,2,40,53.57,26714.75,0,1,47,4,HIGH,RICK,1,YES,DOTSON
DIVORCED,CA,0,1,2000,5950,1,NO,57253,CU6453,Male,Author,1600,West,1,1300,Yes,2,1,55,58.28,28313.25,3698,4,181,6,HIGH,CHARLEY,1,YES,HAHN
SINGLE,CA,0,3,0,700,3,NO,60546,CU6454,Male,Programmer/Developer,900,West,0,0,No,5,1,26,53.05,13236.5,378,3,320,2,LOW,WILEY,0,YES,PROCTOR
MARRIED,MI,0,3,700,0,3,NO,67629,CU6456,Male,Sales Representative,900,Midwest,1,700,No,10,1,24,52.99,24807.25,207,0,25,2,HIGH,WILLIAMS,1,YES,QUICK
DIVORCED,CA,86,1,2552,4595,1,YES,65745,CU7197,Female,PROF-15,1000,West,1,995,No,3,2,50,53.29,24936.25,843,1,213,3,HIGH,CORA,1,YES,REEDER
MARRIED,DC,126242,4,5000,19000,1,YES,65568,CU7198,Female,Lab Technician,3000,NorthEast,1,3500,Yes,2,1,46,61.13,25992,128954,3,25,7,HIGH,RYAN,1,YES,MCMULLEN
DIVORCED,DC,0,1,1970,750,1,YES,56377,CU7199,Male,Cashier,1500,NorthEast,1,200,No,2,1,30,53.18,20594.25,511,3,25,3,MEDIUM,DERRICK,1,YES,RIDLEY
SINGLE,CA,0,2,600,550,2,NO,68800,CU7202,Female,Waiter/Waitress,1500,West,1,600,Yes,7,1,32,53.41,27400,665,2,25,4,HIGH,SUN,1,YES,WILDER
MARRIED,CA,10039,5,0,2700,5,YES,65556,CU7203,Female,Veterinarian,1100,West,0,900,No,3,1,27,53.86,6589,11197,1,615,4,LOW,CRISELDA,0,YES,BRADLEY
SINGLE,WI,0,3,0,550,3,NO,59272,CU7204,Male,Programmer/Developer,800,Midwest,0,0,No,9,1,42,53.18,14518,1174,2,663,3,MEDIUM,ORVAL,0,YES,MAY
SINGLE,MI,0,2,105,0,0,NO,57363,CU7205,Male,Nurse,1500,Midwest,1,105,No,0,1,25,53.07,27840.75,0,0,25,1,HIGH,CONNIE,1,YES,HOOD
SINGLE,NV,0,2,0,0,0,NO,66677,CU7207,Male,Nurse,900,Southwest,0,0,No,0,1,0,53.06,0,502,0,25,0,LOW,TEODORO,0,YES,SHIELDS
DIVORCED,MN,0,1,3000,3950,1,YES,62269,CU7209,Female,Cashier,1300,West,1,1700,Yes,12,1,64,54.15,25467.25,3040,1,1382,5,HIGH,ALETHEA,1,YES,GOMES
MARRIED,CA,54250,4,1500,1500,6,YES,56641,CU7210,Female,Author,1200,West,2,300,No,11,1,57,54.18,24860.25,57415,3,25,5,HIGH,JANAE,2,YES,SNOWDEN
DIVORCED,OR,0,1,3000,5555,1,NO,68399,CU7211,Female,PROF-49,1000,West,2,1505,No,4,1,47,53.19,40299.75,6053,3,5494,3,VERY HIGH,NOEL,2,YES,BEAM
DIVORCED,CA,0,4,3000,2710,3,NO,65256,CU8122,Female,Software Engineer,1500,West,1,450,Yes,12,1,63,54.46,28614,648,1,25,5,HIGH,YELENA,1,YES,LANGE
MARRIED,MI,0,1,1500,500,1,NO,61035,CU10101,Male,Lab Technician,1500,Midwest,1,1500,Yes,2,1,24,53.57,26158.75,222,2,25,4,HIGH,RIGOBERTO,1,YES,ALFORD
SINGLE,IL,0,3,400,0,3,YES,70416,CU10102,Male,Programmer/Developer,1500,Midwest,1,400,No,1,1,25,53.18,20604,0,1,25,3,MEDIUM,MURRAY,1,YES,WOOD
DIVORCED,CA,0,2,2000,600,2,YES,61049,CU10104,Female,Truck Driver,1500,West,1,2000,No,4,1,27,53.13,19962.25,366,2,341,2,MEDIUM,AFTON,1,YES,PRESSLEY
DIVORCED,CA,0,1,2068,0,1,YES,67373,CU10105,Female,Clerical,800,West,1,2068,No,0,1,54,53.14,25743.25,0,1,25,2,HIGH,ROSENA,1,YES,HAAS
DIVORCED,NY,0,1,4600,5000,1,NO,65686,CU10107,Female,Truck Driver,800,NorthEast,1,400,Yes,2,1,46,53.41,29521.5,897,4,45,4,HIGH,ANH,1,YES,POLK
MARRIED,CA,0,4,1000,950,3,NO,68482,CU10108,Male,PROF-8,800,West,1,1000,No,3,1,46,53.34,27720.5,440,1,25,3,HIGH,WINFRED,1,YES,WILLINGHAM
MARRIED,NY,0,5,1450,1450,5,NO,63114,CU10110,Female,Bank Teller,1500,NorthEast,1,1450,Yes,3,1,27,54.49,20978.5,2409,3,1540,5,MEDIUM,LUELLA,1,YES,REEVES
DIVORCED,OH,0,3,2327,1150,3,YES,55549,CU10111,Male,Cashier,1500,Midwest,1,300,Yes,16,6,34,53.32,17787.25,401,3,90,3,MEDIUM,BASIL,1,YES,GORE
MARRIED,MI,0,3,1100,0,3,NO,55636,CU10113,Male,Programmer/Developer,1500,Midwest,1,1100,No,1,1,26,53.05,22009,0,1,25,2,HIGH,IGNACIO,1,YES,HARLEY
SINGLE,NY,0,2,0,0,0,NO,75629,CU1274,Male,Lab Technician,1500,NorthEast,0,0,No,0,2,0,53.06,0,504,0,25,0,LOW,VINCENZO,0,YES,HOOK
